X,Y,U
-0.49522,-0.64755,0.11063
-0.39775,0.64731,0.081856
-0.39978,-0.65021,0.1166
-0.3,-0.65359,0.11966
-0.2,-0.65359,0.12092
-0.1,-0.65359,0.12028
3.70E-17,-0.65359,0.1182
0.099906,-0.64964,0.11574
0.19922,-0.65274,0.11123
0.30041,-0.66008,0.10517
0.3997,-0.66267,0.098948
-0.34639,0.49546,0.093921
0.50024,-0.65367,0.092669
-0.33905,0.39957,0.10077
0.60053,-0.65051,0.083302
-0.34135,0.30198,0.1081
-0.34722,0.20168,0.11595
0.2023,-0.34754,0.11595
0.30432,-0.3439,0.10829
0.40608,-0.34602,0.10119
0.5083,-0.34699,0.092834
0.64554,-0.49609,0.085226
0.60958,-0.34379,0.082111
-0.27971,-0.094197,0.13248
-0.089699,-0.28298,0.13242
-0.58215,0.66202,0.08074
-0.57857,-0.6566,0.10064
-0.34448,0.57817,0.085667
-0.35678,0.10564,0.12421
0.10615,-0.35792,0.1243
0.64828,-0.57799,0.082872
0.65987,-0.41685,0.081175
-0.5654,-0.052719,0.13255
-0.56157,0.046345,0.12928
-0.55264,0.15084,0.12509
-0.56605,-0.15401,0.13483
-0.57772,0.25595,0.11744
-0.5647,-0.25586,0.13533
-0.57517,0.36118,0.11103
-0.56521,-0.35936,0.13275
-0.5644,0.46811,0.1034
-0.5793,-0.45059,0.1255
-0.56475,0.56777,0.093514
-0.55307,-0.54997,0.11941
-0.45446,0.53142,0.098461
-0.45209,-0.55554,0.1287
-0.35,-0.56699,0.13287
-0.2512,-0.56564,0.13525
-0.15149,-0.56696,0.13468
-0.051391,-0.56637,0.1324
0.047184,-0.5626,0.12915
0.15026,-0.55299,0.1251
0.2535,-0.57802,0.11756
0.35319,-0.58366,0.11092
0.44282,-0.59251,0.10362
-0.41159,0.44327,0.10464
0.53518,-0.54235,0.097955
-0.42074,0.35434,0.11232
-0.42457,0.25904,0.11933
0.2596,-0.42631,0.11939
0.36027,-0.42711,0.11226
0.466,-0.4356,0.10406
0.56939,-0.4346,0.093556
-0.21113,-0.22013,0.13801
-0.19558,-0.31757,0.14435
-0.36704,0.009096,0.13262
0.011255,-0.36915,0.13262
-0.44187,0.16331,0.12648
0.16216,-0.44574,0.12668
-0.47282,-0.013635,0.13713
-0.47966,-0.10783,0.14109
-0.47831,-0.20642,0.14381
-0.50054,0.31364,0.1174
-0.47483,-0.3176,0.14393
-0.49449,0.41838,0.1096
-0.48365,-0.44273,0.13748
-0.39504,-0.48224,0.14057
-0.30304,-0.47532,0.14414
-0.20184,-0.47894,0.1437
-0.10542,-0.48133,0.14092
-0.011644,-0.47466,0.13699
0.3129,-0.50378,0.11742
0.4147,-0.50699,0.10983
-0.38905,-0.15173,0.14433
-0.14849,-0.39108,0.1442
-0.46201,0.077146,0.13221
0.077291,-0.46313,0.1322
-0.50109,0.22699,0.12303
0.22645,-0.50168,0.12305
-0.29199,-0.29608,0.14808
-0.39167,-0.2544,0.14798
-0.37234,-0.37882,0.14779
0.53884,-0.39079,0.094163
0.48715,-0.3913,0.099214
0.51769,-0.4351,0.099116
0.3638,-0.50539,0.11378
0.33304,-0.54372,0.11484
0.38394,-0.54533,0.11115
-0.39455,0.1825,0.12242
-0.3859,0.23036,0.11834
-0.43322,0.21117,0.123
-0.39933,0.13447,0.1261
-0.352,0.15366,0.12005
0.44035,-0.4713,0.10753
0.41314,-0.43135,0.10837
0.38748,-0.46705,0.11177
-0.47448,0.4749,0.10451
-0.50943,0.49976,0.10226
-0.52945,0.44324,0.10701
-0.50081,0.27031,0.12029
-0.53913,0.28479,0.11822
-0.5394,0.24147,0.12087
-0.47148,0.19515,0.12511
-0.46283,0.24301,0.12192
-0.60251,-0.57809,0.10929
-0.61527,-0.6314,0.10004
-0.56582,-0.60329,0.1107
-0.5369,-0.65208,0.10596
-0.52414,-0.59876,0.11606
-0.2756,-0.60961,0.12829
-0.25,-0.65359,0.12056
-0.2256,-0.60961,0.12883
-0.3006,-0.56631,0.13443
-0.325,-0.61029,0.12701
-0.46787,-0.49914,0.13399
-0.42356,-0.51889,0.1352
-0.43935,-0.46248,0.13957
-0.175,-0.9567,0.021205
-0.15,-1,0
-0.125,-0.9567,0.021219
0.091722,-0.41053,0.12975
0.058704,-0.36354,0.1285
0.044273,-0.41614,0.13319
0.098721,-0.5578,0.12727
0.073545,-0.60612,0.1232
0.12508,-0.60132,0.12166
0.18835,-0.52733,0.12453
0.20188,-0.5655,0.12144
0.23997,-0.53985,0.12094
-0.13236,0.67625,0.039359
-0.08832,0.70144,0.026817
-0.13408,0.72769,0.036065
-0.32428,0.95645,0.014089
-0.35,1,0
-0.37428,0.95645,0.014786
0.21088,-0.43603,0.12315
0.23095,-0.38692,0.11839
0.18223,-0.39664,0.12261
0.15423,-0.35273,0.1201
0.13416,-0.40183,0.12631
-0.00019451,-0.42191,0.13625
0.032824,-0.46889,0.13472
-0.22652,-0.52229,0.14038
-0.20135,-0.5663,0.13524
-0.17667,-0.52295,0.13984
-0.41453,0.043121,0.1332
-0.36191,0.057367,0.12844
-0.4094,0.091392,0.12971
-0.20335,-0.26885,0.14172
-0.25156,-0.2581,0.14446
-0.24378,-0.30683,0.14655
-0.425,0.9567,0.015163
-0.39928,0.91315,0.028295
-0.4749,0.86973,0.041283
-0.50019,0.91284,0.029274
-0.5251,0.86917,0.041416
-0.14264,-0.30028,0.13925
-0.15041,-0.25155,0.135
-0.46256,0.28634,0.11902
-0.42266,0.30669,0.1159
-0.46064,0.33399,0.11563
-0.22361,-0.35497,0.14705
-0.20007,-0.39172,0.14646
-0.17203,-0.35433,0.14455
-0.12845,-0.52414,0.13875
-0.10144,-0.56666,0.13374
-0.078403,-0.52385,0.13729
-0.29752,0.9119,0.025791
-0.27325,0.95545,0.013392
-0.57603,0.86728,0.041213
-0.60019,0.91284,0.028365
-0.62584,0.86784,0.03971
-0.52443,-0.40104,0.13593
-0.57225,-0.40497,0.12952
-0.53148,-0.44666,0.13213
-0.27712,-0.52048,0.14038
-0.25244,-0.47713,0.1443
-0.50733,0.11399,0.12944
-0.55711,0.098594,0.12733
-0.51179,0.061746,0.13201
-0.043301,0.625,0.015697
0,0.65,0
-0.043301,0.675,0.01466
-0.22325,0.95545,0.012111
-0.25,1,0
-0.45194,0.12023,0.12948
-0.49725,0.15708,0.12728
-0.51977,-0.28673,0.14033
-0.56495,-0.30761,0.13445
-0.52002,-0.33848,0.13914
-0.045019,0.72644,0.013918
-0.31669,0.024699,0.12578
-0.31156,0.072969,0.12075
-0.47657,-0.26201,0.14435
-0.52151,-0.23114,0.14047
-0.20892,-0.11894,0.12496
-0.24542,-0.15716,0.13501
-0.17463,-0.18191,0.12876
-0.031517,-0.52051,0.1358
-0.05853,-0.478,0.13913
-0.15363,-0.48014,0.14255
0.2832,-0.5409,0.11824
0.30334,-0.58084,0.11436
0.1943,-0.47371,0.12518
0.15621,-0.49937,0.12729
-0.27182,-0.34422,0.14847
0.96585,-0.034151,0.0024669
0.95,0,0
0.91585,-0.034151,0.0050611
-0.038594,-0.43861,0.13877
-0.027145,-0.38586,0.13655
0.95594,-0.47486,0.015636
1,-0.45,0
0.95594,-0.42486,0.015412
-0.53483,0.38978,0.11113
-0.53786,0.33741,0.1148
-0.49752,0.36601,0.11368
-0.45761,0.38636,0.11161
0.47494,-0.52467,0.10435
0.50059,-0.48898,0.10223
-0.33438,-0.12296,0.14031
-0.33902,-0.081376,0.13742
-0.39369,-0.11014,0.14218
0.95494,-0.77625,0.012229
1,-0.75,0
0.95494,-0.72625,0.013521
0.225,-0.9567,0.02001
0.25,-1,0
0.275,-0.9567,0.019675
-0.010136,-0.074492,0.061408
0.021637,-0.042514,0.033469
-0.031773,-0.031978,0.046346
-0.275,-0.9567,0.020983
-0.25,-1,0
-0.225,-0.9567,0.021129
-0.38268,-0.02973,0.13655
-0.32338,-0.042551,0.13266
-0.08548,-0.44195,0.14121
-0.2,-0.9134,0.040524
0.062237,-0.51287,0.13194
0.11378,-0.50806,0.12943
-0.043301,0.425,0.01883
0,0.45,0
-0.043301,0.475,0.018142
0.11972,-0.45443,0.12956
0.575,-0.043301,0.016603
0.55,0,0
0.525,-0.043301,0.017409
-0.43436,-0.12978,0.14334
-0.47898,-0.15713,0.14271
-0.43368,-0.17908,0.14519
0.55228,-0.48847,0.096853
-0.075,-0.9567,0.021177
-0.05,-1,0
-0.025,-0.9567,0.021086
0.96585,-0.084151,0.0050536
1,-0.05,0
0.95918,-0.17543,0.0097399
1,-0.15,0
0.95918,-0.12543,0.0078719
-0.27097,0.86883,0.034471
-0.322,0.86984,0.037139
-0.95888,0.87497,0.0079182
-1,0.85,0
-0.95888,0.82497,0.0098522
-0.35363,-0.17663,0.14478
-0.29896,-0.14787,0.13959
-0.04346,0.12369,0.024868
0,0.15,0
-0.04346,0.17369,0.023128
0.87497,-0.041121,0.0079377
0.89082,-0.075271,0.012188
0.95501,-0.2736,0.01352
1,-0.25,0
0.95501,-0.2236,0.012229
-0.43499,-0.23041,0.14641
-0.43325,-0.286,0.14692
0.42876,-0.54975,0.10746
0.489,-0.56743,0.10136
-0.56458,0.51794,0.098758
-0.50961,0.54959,0.097116
-0.47924,-0.38017,0.14156
-0.42359,-0.34821,0.14658
-0.428,-0.41078,0.14384
-0.43557,-0.041095,0.1389
-0.47624,-0.060732,0.13929
-0.43899,-0.088192,0.14137
-0.425,-0.8701,0.054807
-0.4,-0.9134,0.038709
-0.375,-0.8701,0.056006
-0.39036,-0.20306,0.14657
-0.27735,-0.43384,0.14689
-0.22675,-0.43565,0.14632
-0.9567,0.575,0.016431
-1,0.55,0
-0.9567,0.525,0.017171
-0.35494,-0.22797,0.14722
0.01777,-0.51863,0.13378
-0.9567,0.175,0.020303
-1,0.15,0
-0.9567,0.125,0.020557
0.9567,-0.675,0.014004
0.91163,-0.70125,0.025858
-0.38369,-0.43053,0.14499
-0.96585,0.91585,0.0050507
-0.92473,0.89082,0.012158
-0.96585,0.96585,0.0024628
-1,0.95,0
-0.34904,-0.47878,0.14279
-0.33769,-0.42707,0.14664
-0.5172,0.016355,0.13393
-0.46742,0.031755,0.1348
-0.13018,0.47494,0.049031
-0.087196,0.5002,0.033935
-0.13078,0.52514,0.047072
-0.56518,0.2034,0.12138
-0.52686,0.18892,0.12452
-0.8701,-0.375,0.056006
-0.9134,-0.4,0.038709
-0.8701,-0.425,0.054807
0.26967,-0.50273,0.12031
-0.9567,0.475,0.017813
-0.9134,0.5,0.033198
-0.043301,0.225,0.021842
0,0.25,0
-0.043301,0.275,0.020945
0.28625,-0.46505,0.11908
0.24303,-0.46399,0.12194
-0.1,-0.9134,0.040573
0.275,-0.043301,0.020945
0.25,0,0
0.225,-0.043301,0.021842
-0.9567,-0.325,0.020758
-1,-0.35,0
-0.9567,-0.375,0.020445
-0.9567,-0.425,0.020034
-1,-0.45,0
-0.9567,-0.475,0.019512
-0.9567,-0.525,0.018866
-1,-0.55,0
-0.9567,-0.575,0.018081
-0.312,-0.38559,0.14857
-0.9567,-0.625,0.017137
-0.9134,-0.6,0.033512
-0.9134,-0.5,0.036635
-0.38201,-0.31661,0.14863
1,-0.65,0
0.9567,-0.625,0.014698
0.7767,-0.04459,0.012327
0.75,0,0
0.7267,-0.04459,0.013787
0.125,-0.9567,0.020557
0.15,-1,0
0.175,-0.9567,0.020303
0.17378,-0.043496,0.023144
0.15,0,0
0.12378,-0.043496,0.024883
-0.17517,-0.43501,0.14503
-0.12695,-0.4362,0.14319
-0.043301,0.325,0.02019
-0.086603,0.3,0.039166
-0.041121,0.82497,0.0098817
0,0.85,0
-0.041121,0.87497,0.0079376
-0.91585,0.96585,0.0050441
-0.95,1,0
-0.72641,0.95505,0.013484
-0.75,1,0
-0.77641,0.95505,0.012194
-0.87497,-0.95888,0.00853
-0.85,-1,0
-0.82497,-0.95888,0.010687
-0.82679,-0.35,0.071898
-0.8701,-0.325,0.056912
-0.33216,-0.33745,0.14916
-0.34183,-0.27524,0.14853
0.91171,-0.2986,0.02588
0.9567,-0.325,0.014026
0.3,-0.086603,0.039166
0.325,-0.043301,0.02019
-0.9567,0.075,0.020774
-1,0.05,0
-0.9567,0.025,0.020951
-0.52486,-0.86877,0.051842
-0.50019,-0.91286,0.036837
-0.47467,-0.86931,0.053568
-0.039222,-0.32607,0.13265
-0.077621,-0.34277,0.13742
0.9567,-0.375,0.014715
1,-0.35,0
0.95588,-0.5752,0.015421
1,-0.55,0
0.95588,-0.5252,0.015652
-1,0.45,0
-0.9567,0.425,0.018373
-0.95544,0.77679,0.012271
-1,0.75,0
-0.95544,0.72679,0.013711
0.625,-0.9567,0.015572
0.65,-1,0
0.675,-0.9567,0.01457
0.91585,-0.96585,0.0050507
0.95,-1,0
0.96585,-0.96585,0.0024628
-0.325,-0.8701,0.056912
-0.3,-0.9134,0.039949
-0.275,-0.8701,0.057557
-0.042514,0.021637,0.033464
-0.074288,-0.010341,0.061356
-0.41993,-0.0022694,0.13633
-0.10702,-0.39682,0.14207
-0.1191,-0.33703,0.1402
-0.26467,-0.21083,0.14199
-0.3051,-0.24881,0.14672
-0.034151,0.91585,0.0050611
0,0.95,0
-0.034151,0.96585,0.0024669
-0.89082,-0.92473,0.013148
-0.91585,-0.96585,0.005397
-1,-0.65,0
-0.9567,-0.675,0.016012
0.525,-0.9567,0.017171
0.55,-1,0
0.575,-0.9567,0.016431
0.025,-0.9567,0.020951
0.05,-1,0
0.075,-0.9567,0.020774
-0.95533,-0.72657,0.015067
-1,-0.75,0
-0.95533,-0.77657,0.013429
-0.96585,-0.96585,0.0026047
-0.95,-1,0
0.6,-0.9134,0.030257
0.1,-0.9134,0.039494
0.72681,-0.95538,0.013726
0.75,-1,0
0.77681,-0.95538,0.012284
0.2,-0.9134,0.038477
-0.52519,0.95614,0.015565
-0.55,1,0
-0.57519,0.95614,0.015335
-0.9567,0.675,0.01457
-0.91213,0.70179,0.026532
-0.9567,-0.125,0.021219
-1,-0.15,0
-0.9567,-0.175,0.021205
0,0.35,0
-0.043301,0.375,0.019501
0.82497,-0.95888,0.0098522
0.85,-1,0
0.87497,-0.95888,0.0079182
1,-0.95,0
0.96585,-0.91585,0.0050441
-0.7764,-0.95488,0.01356
-0.80136,-0.91376,0.022586
-0.96585,-0.91585,0.0053968
-1,-0.95,0
-0.57519,-0.95616,0.018292
-0.55,-1,0
-0.52519,-0.95616,0.019088
-0.475,-0.9567,0.019512
-0.45,-1,0
-0.425,-0.9567,0.020034
0.325,-0.9567,0.019295
0.35,-1,0
0.375,-0.9567,0.018863
0.91258,-0.6002,0.02844
-0.75,-1,0
-0.7264,-0.95488,0.015213
-0.95918,-0.82457,0.010632
-1,-0.85,0
-0.95918,-0.87457,0.0084924
0.70181,-0.91208,0.026546
0.375,-0.043301,0.019501
0.35,0,0
-0.625,0.9567,0.014698
-0.65,1,0
-0.675,0.9567,0.014004
-0.70141,0.91175,0.025821
-0.9567,0.375,0.018863
-1,0.35,0
-0.9567,0.325,0.019295
-0.9134,0.4,0.035425
0.95918,-0.87457,0.0078558
0.92502,-0.89042,0.012131
1,-0.85,0
0.95918,-0.82457,0.0097195
-0.35,-0.82679,0.071898
-0.375,-0.9567,0.020445
-0.35,-1,0
-0.325,-0.9567,0.020758
0.475,-0.043301,0.018142
0.45,0,0
0.425,-0.043301,0.01883
0.425,-0.9567,0.018373
0.45,-1,0
0.475,-0.9567,0.017813
0.5,-0.9134,0.033198
0.675,-0.043301,0.01466
0.7017,-0.087891,0.026691
-1,0.65,0
-0.9567,0.625,0.015572
-0.91432,0.80176,0.02047
0.65,0,0
0.625,-0.043301,0.015697
0.6,-0.086603,0.030539
-0.9134,0.2,0.038477
-0.9567,0.225,0.02001
-0.9567,0.275,0.019675
-1,0.25,0
0.85,0,0
0.82497,-0.041121,0.0098821
0.91264,-0.39986,0.028453
0.91411,-0.80082,0.020359
0.80178,-0.91426,0.02048
-0.82457,0.95918,0.0097197
-0.85,1,0
-0.87457,0.95918,0.0078557
0.86698,-0.42408,0.041331
0.86773,-0.37422,0.039796
0.625,-0.1299,0.041851
0.575,-0.1299,0.04448
-0.89042,0.92502,0.012131
-0.80098,0.91423,0.020326
0.80167,-0.085711,0.020553
0.91419,-0.19903,0.020381
0.4,-0.086603,0.036457
0.3,-0.9134,0.037143
0.91182,-0.50006,0.029576
0.5,-0.086603,0.033735
-0.92502,-0.89042,0.013141
-0.91451,-0.80114,0.022435
-0.9567,-0.025,0.021086
-1,-0.05,0
-0.9567,-0.075,0.021177
-0.9134,6.94E-18,0.040205
-0.88414,-0.88345,0.019631
0.89082,-0.92473,0.012158
0.88414,-0.88345,0.017988
-0.91203,-0.70157,0.029364
-0.675,-0.9567,0.016012
-0.65,-1,0
-0.625,-0.9567,0.017137
0.6517,-0.17328,0.050496
0.6767,-0.12998,0.038755
0.525,-0.1299,0.046818
0.475,-0.1299,0.048941
0,0.05,0
-0.042514,0.071637,0.027411
-0.086603,0.4,0.036457
0.83276,-0.86639,0.026149
0.86697,-0.83208,0.026045
0.78461,-0.86289,0.031629
-0.1299,0.375,0.052834
-0.1299,0.425,0.05092
-0.086761,0.19869,0.042746
0.071637,-0.042514,0.02741
0.05,0,0
0.09542,-0.08601,0.048977
-0.9134,0.6,0.030257
-0.88345,0.88414,0.017988
-0.60019,-0.91286,0.033693
-0.7014,-0.91158,0.029505
-0.085974,0.095323,0.048969
-0.9134,-0.1,0.040573
-0.55074,0.82417,0.052175
-0.86978,0.62623,0.041531
-0.86978,0.57623,0.044047
0.075,-0.8701,0.056812
0.125,-0.8701,0.056161
0.12082,-0.13087,0.066609
0.068677,-0.12989,0.071871
-0.086139,0.80141,0.020657
-0.045019,0.77644,0.012445
0,0.75,0
0.4,-0.9134,0.035425
0.55,-0.17321,0.057453
0.67828,-0.21866,0.056974
0.62658,-0.21859,0.061877
0.86676,-0.16761,0.026115
0.88414,-0.11655,0.018035
0.83255,-0.13329,0.026206
-0.86283,-0.78419,0.03512
-0.86667,-0.83219,0.028844
-0.83246,-0.8665,0.028839
-0.9134,0.1,0.039494
-0.8701,-0.475,0.053282
-0.8701,-0.525,0.05139
-1.39E-17,-0.9134,0.040205
0.14704,-0.17398,0.0803
0.17378,-0.1301,0.062229
-0.45,1,0
-0.475,0.9567,0.015382
-0.78389,-0.86251,0.035217
-0.86968,-0.67644,0.043045
-0.86831,-0.72801,0.039324
0.8626,-0.21577,0.031481
0.78429,-0.13676,0.031718
-0.82048,-0.75906,0.046554
-0.44967,-0.82601,0.069035
-0.12543,0.95918,0.007872
-0.15,1,0
-0.17543,0.95918,0.0097404
-0.19868,0.91462,0.020273
0.86842,-0.5252,0.041612
0.86848,-0.47486,0.041609
0.86273,-0.78376,0.031416
-0.05,1,0
-0.084151,0.96585,0.0050536
-0.075271,0.89082,0.012188
0.92502,-0.10958,0.012159
0.82279,-0.55062,0.052494
0.86613,-0.57582,0.041512
0.475,-0.8701,0.048057
0.525,-0.8701,0.046178
-0.8701,0.525,0.046177
-0.8701,0.475,0.048057
-0.043895,0.5252,0.017631
0,0.55,0
-0.043895,0.5752,0.016814
-0.087196,0.6002,0.030717
-0.86884,0.72893,0.035172
-0.8701,0.67714,0.038467
-0.82648,0.55123,0.056803
-0.9567,-0.225,0.021129
-1,-0.25,0
-0.9567,-0.275,0.020983
-0.9134,-0.2,0.040524
0.19878,-0.086797,0.042758
0.45,-0.82679,0.061712
0.425,-0.8701,0.049699
-0.86668,0.83259,0.026124
-0.86324,0.78442,0.031586
-0.83237,0.8668,0.026041
-0.52388,0.78297,0.061535
-0.57481,0.78108,0.060838
-0.13725,0.78421,0.031811
-0.18129,0.75902,0.041982
-0.27524,0.78693,0.050245
